Daniel_10_1_11000_13720|besie nyei hungh
Daniel_10_2_13720_15320|sailatv
Daniel_10_3_15320_19000|gunv da faam hnyangx wuov hnyangx
Daniel_10_4_19000_25000|tin hungh laauc yaangh yietc nyungc fienx bun ndaa ni en
Daniel_10_5_25000_30240|dongh maaih ganh norm mbuox heuc mben te satv saa
Daniel_10_6_30240_33520|naaiv deix fienx se zien nyei
Daniel_10_7_33520_37160|yaac gorngv zuqc mborqv domh jaax
Daniel_10_8_37160_40400|ninh mengh baeqc naaiv deix fienx
Daniel_10_9_40400_44800|yaac bieqc hnyouv wuov deix laauc yaangh nyei sic
Daniel_10_10_44800_47080|wuov zanc yie
Daniel_10_11_47080_52120|ndaa ni en za gengh nzauh haic buangv buo norm leiz baaix
Daniel_10_12_52120_56040|haaix nyungc kuv yie yaac maiv nyanc
Daniel_10_13_56040_61160|orv fai a ngunc diuv yaac maiv bieqc yie nyei nzuih
Daniel_10_14_61160_69200|naaiv deix buo norm leiz baaix gu nyuoz yie yaac maiv longc haaix nyungc youh nzaatv yie nyei sin
Daniel_10_15_69200_76360|zih hlaax nyic ziepc feix wuov hnoi yie souv jienv taigitc domh ndaaih hlen
Daniel_10_16_76360_78880|yie cau hmien mangc
Daniel_10_17_78880_82800|buatc dauh mienh zuqv jienv la maah ndie
Daniel_10_18_82800_90360|jaaiv yaac sai jienv ufaatv nyei jiem zoux daaih nyei houx hlaang
Daniel_10_19_90360_96240|ninh nyei sin njang hnangv mbuov lunx nyei la bieiv jaaix
Daniel_10_20_96240_99640|ninh nyei hmien hnangv mba lingc
Daniel_10_21_99640_103200|m zing yaac hnangv douz baav
Daniel_10_22_103200_109400|ninh nyei buoz zaux hnangv nzaatv daaih nyei dongh siqv nor
Daniel_10_23_109400_117160|ninh gorngv waac nyei qiex yaac hnangv yietc domh guanh mienh camv gapv zunv nyei qiex mbui
Daniel_10_24_117160_125240|naaiv deix laauc yaangh nyei sic kungx yie ndaa ni en ganh
Daniel_10_25_125240_127000|nduqc laanh mienh buatc hnangv
Daniel_10_26_127000_132280|caux yie yiem nyei mienh maiv maaih haaix dauh buatc
Daniel_10_27_132280_137200|mv baac ninh mbuo sin zinx nyanh nyanh nyei
Daniel_10_28_137200_139920|ziouc biaux mingh bingx
Daniel_10_29_139920_143800|kungx zengc yie nduqc laanh mienh hnangv
Daniel_10_30_143800_147600|yie buatc naaiv deix domh laauc yaangh nyei sic
Daniel_10_31_147600_149880|sin zaangc nyei qaqv nzengc mi aqv
Daniel_10_32_149880_153520|hmien mueic tiuv setv
Daniel_10_33_153520_155760|mbienc nzengc mi aqv
Daniel_10_34_155760_158920|sin maiv maaih yietc aax qaqv
